,Src,Dst,Weight,edge_type
5761,122,923,1,0
5762,123,1033,1,0
5763,124,1033,1,0
5769,125,1034,1,0
5771,126,1035,1,0
5776,127,1036,1,0
5777,128,1036,1,0
5778,129,1036,1,0
5779,99,1036,1,0
5781,128,1015,1,0
5782,129,1015,1,0
5783,130,1015,1,0
5784,131,1015,1,0
5789,69,1037,1,0
5798,132,1038,1,0
5799,133,1038,1,0
5800,134,1039,1,0
5801,16,1039,1,0
5802,135,1039,1,0
5803,132,1039,1,0
5804,133,1039,1,0
5806,136,1040,1,0
5817,137,923,1,0
5843,138,1041,1,0
5844,138,1042,1,0
5846,139,1041,1,0
5847,140,1041,1,0
5848,141,1043,1,0
5849,141,1044,1,0
5850,142,1044,1,0
5851,143,1044,1,0
5852,144,1044,1,0
5853,145,1044,1,0
5854,146,1044,1,0
5855,147,1045,1,0
5856,148,1044,1,0
5858,149,1046,1,0
5861,150,1047,1,0
5862,151,881,1,0
5864,152,1048,1,0
5866,153,1049,1,0
5867,150,1050,1,0
5868,151,1050,1,0
5869,154,1050,1,0
5870,155,1050,1,0
5871,152,1050,1,0
5872,152,1051,1,0
5873,150,1052,1,0
5874,150,1053,1,0
5875,152,1053,1,0
5877,150,881,1,0
5878,150,1054,1,0
5879,152,1054,1,0
5880,150,1048,1,0
5881,156,1055,1,0
5888,157,1056,1,0
5889,158,1056,1,0
5890,159,1056,1,0
5895,160,1057,1,0
5896,160,1058,1,0
5899,161,1059,1,0
5931,94,1060,1,0
5965,52,997,1,0
5968,134,887,1,0
5975,45,931,1,0
5979,162,1061,1,0
5998,94,1062,1,0
6005,163,1063,1,0
6020,164,889,1,0
6025,165,1064,1,0
6028,114,873,1,0
6033,105,1013,1,0
6043,55,945,1,0
6050,164,1029,1,0
6053,166,867,1,0
6056,167,1032,1,0
6057,167,1025,1,0
6060,168,1065,1,0
6061,44,1032,1,0
6065,89,945,1,0
6073,111,880,1,0
6099,70,1026,1,0
6101,71,1026,1,0
6104,113,1066,1,0
6107,169,880,1,0
6108,169,1025,1,0
6109,115,1025,1,0
6117,50,1029,1,0
6118,50,889,1,0
6119,170,1067,1,0
6120,170,1068,1,0
6129,171,971,1,0
6130,60,971,1,0
6145,75,1029,1,0
6154,172,932,1,0
6165,33,873,1,0
6167,122,867,1,0
6168,122,1029,1,0
6169,122,889,1,0
6192,55,869,1,0
6195,164,867,1,0
6199,118,947,1,0
6216,105,1031,1,0
6223,80,1069,1,0
6231,53,1070,1,0
6233,75,889,1,0
6241,173,924,1,0
6246,174,1071,1,0
6265,74,1072,1,0
6278,123,1073,1,0
6328,52,889,1,0
6342,129,1035,1,0
6343,175,1074,1,0
6352,176,1036,1,0
6353,177,1036,1,0
6354,100,1036,1,0
6355,178,1015,1,0
6361,171,970,1,0
6362,61,970,1,0
6372,179,869,1,0
6383,180,1020,1,0
6384,181,1020,1,0
6385,182,887,1,0
6386,183,887,1,0
6387,184,887,1,0
6388,23,887,1,0
6389,180,1023,1,0
6390,181,1023,1,0
6391,182,1075,1,0
6392,183,1075,1,0
6393,184,1075,1,0
6394,135,1076,1,0
6395,132,1076,1,0
6396,133,1076,1,0
6398,16,1077,1,0
6399,52,1029,1,0
6410,185,947,1,0
6413,186,868,1,0
6424,137,1012,1,0
6428,179,1065,1,0
6434,63,1078,1,0
6436,63,1079,1,0
6468,55,1042,1,0
6474,187,1042,1,0
6479,188,1044,1,0
6480,189,1044,1,0
6481,190,1044,1,0
6482,191,1044,1,0
6483,147,1080,1,0
6494,192,1081,1,0
6505,193,1082,1,0
6509,194,1083,1,0
6512,154,1054,1,0
6513,155,1053,1,0
6515,195,1084,1,0
6517,156,1085,1,0
6522,150,1051,1,0
6523,151,1051,1,0
6524,154,1051,1,0
6525,155,1051,1,0
6526,151,1052,1,0
6527,154,1052,1,0
6528,155,1052,1,0
6529,152,1052,1,0
6530,155,881,1,0
6531,155,1054,1,0
6532,151,1048,1,0
6534,154,1048,1,0
6535,155,1048,1,0
6536,156,1084,1,0
6539,195,1085,1,0
6540,195,1049,1,0
6541,156,1049,1,0
6542,156,1054,1,0
6543,196,1086,1,0
6544,196,1087,1,0
6557,197,1049,1,0
6561,198,1088,1,0
6564,185,1088,1,0
6569,159,1089,1,0
6570,199,1056,1,0
6575,15,1090,1,0
6581,53,1091,1,0
6610,53,1092,1,0
6655,1,956,1,0
6670,94,1093,1,0
6671,94,1094,1,0
6676,94,1095,1,0
6703,94,1096,1,0
6708,94,1097,1,0
6720,94,1098,1,0
6721,94,1099,1,0
6722,94,1100,1,0
6723,94,1101,1,0
6724,94,1102,1,0
6725,94,1103,1,0
6726,94,1104,1,0
6728,94,1105,1,0
6729,94,1106,1,0
6730,94,1107,1,0
6791,15,1108,1,0
6895,53,956,1,0
6896,53,957,1,0
6982,200,1109,1,0
6983,201,1110,1,0
6984,202,1110,1,0
6985,203,1110,1,0
6986,204,1111,1,0
6987,204,1112,1,0
6988,205,1111,1,0
6989,205,1112,1,0
6990,206,1111,1,0
6991,206,1111,1,0
6992,206,1112,1,0
6993,206,1112,1,0
6994,207,1111,1,0
6995,207,1112,1,0
6996,204,1113,1,0
6997,205,1113,1,0
6998,206,1113,1,0
6999,206,1113,1,0
7000,207,1113,1,0
7001,204,1114,1,0
7002,204,1115,1,0
7003,205,1114,1,0
7004,205,1115,1,0
7005,206,1114,1,0
7006,206,1114,1,0
7007,206,1115,1,0
7008,206,1115,1,0
7009,208,1114,1,0
7010,208,1115,1,0
7011,207,1114,1,0
7012,207,1115,1,0
7013,208,1112,1,0
7014,208,1113,1,0
7015,209,1116,1,0
7016,210,1116,1,0
7017,211,1117,1,0
7018,211,1118,1,0
7020,212,1119,1,0
7021,213,1120,1,0
7022,212,1120,1,0
7023,214,1121,1,0
7024,214,882,1,0
7029,215,1122,1,0
7030,216,1123,1,0
7031,217,1123,1,0
7032,218,1123,1,0
7033,219,1123,1,0
