,from,to,references
592,DAPK3,MYL9,KEA:10047984;KEA:10356987;KEA:15096528;KEA:2526655;KEA:89323116;ProtMapper:19851336;SIGNOR:19851336;SPIKE:11384979;SPIKE_LC:11384979;iPTMnet:10356987;iPTMnet:15096528;iPTMnet:19851336;phosphoELM:10356987;phosphoELM:15096528
593,MAPK1,RPS6KA3,BioGRID:12016217;HPRD:12832467;HPRD:9915826;InnateDB:12832467;IntAct:21988832;IntAct:25241761;KEA:10980595;Lit-BM-17:12016217;Lit-BM-17:21988832;Lit-BM-17:23602568;Lit-BM-17:25241761;Lit-BM-17:8939914;Lit-BM-17:9915826;Macrophage:17906627;NetPath:12832467;ProtMapper:10856237;ProtMapper:12832467;ProtMapper:18156174;SIGNOR:19282669;SPIKE:8939914;SPIKE:9915826;SPIKE_LC:8939914;SPIKE_LC:9915826;iPTMnet:10480933
594,MAPK1,DAPK1,HPRD-phos:15616583;HPRD:15616583;InnateDB:15616583;KEA:15616583;Lit-BM-17:15616583;ProtMapper:15616583;SIGNOR:15616583;SPIKE:15616583;SPIKE_LC:15616583;dbPTM:15616583;iPTMnet:15616583;phosphoELM:15616583
595,DAPK1,MAPK1,HPRD:15616583;InnateDB:15616583;Lit-BM-17:15616583;SIGNOR:15616583;SPIKE:15616583;SPIKE_LC:15616583
596,SRC,DAPK1,PhosphoSite:17803936;ProtMapper:21785723;ProtMapper:28976934;SPIKE:17803936;SPIKE_LC:17803936;iPTMnet:17803936
597,PTPRF,DAPK1,ProtMapper:17803936;SIGNOR:17803936;SPIKE:17803936;SPIKE_LC:17803936
598,DAPK3,DAPK1,KEA:11579085;SPIKE_LC:18239682
599,DAPK1,DAPK3,SPIKE:15367680;SPIKE_LC:15367680;SPIKE_LC:18239682;dbPTM:15367680;dbPTM:15611134;iPTMnet:15367680
600,DAPK1,TSC2,ACSN:18974095;InnateDB:18974095;SPIKE:18974095;SPIKE_LC:18974095
601,MAPK3,DAPK1,HPRD:15616583;InnateDB:15616583;IntAct:15616583;IntAct:25241761;Lit-BM-17:15616583;Lit-BM-17:25241761;PhosphoSite:15616583;PhosphoSite:26769850;SPIKE:15616583;SPIKE_LC:15616583;SPIKE_LC:17145710
602,DAPK1,MAPK3,HPRD:15616583;InnateDB:15616583;IntAct:15616583;IntAct:25241761;Lit-BM-17:15616583;Lit-BM-17:25241761;SPIKE:15616583;SPIKE_LC:15616583;SPIKE_LC:17145710
603,HSP90AA1,DAPK1,SPIKE:16551624;SPIKE_LC:16551624
604,NEO1,DAPK1,SPIKE:18583991;SPIKE_LC:18583991
605,RRAS,RAF1,Lit-BM-17:10848612;Lit-BM-17:19805522;SPIKE:7730360;SPIKE:8035810;SPIKE:8530446;SPIKE:8911690;SPIKE:9099670;SPIKE_LC:7730360;SPIKE_LC:8035810;SPIKE_LC:8530446;SPIKE_LC:8911690;SPIKE_LC:9099670
606,UNC5B,DAPK1,BioGRID:15729359;HPRD:15729359;Lit-BM-17:15729359;Lit-BM-17:21172653;SPIKE:15729359;SPIKE_LC:15729359
607,RPS6KA1,DAPK1,ACSN:18974095;KEA:16213824;ProtMapper:21785723;SPIKE:16213824;SPIKE_LC:16213824;dbPTM:16213824;iPTMnet:16213824
608,RPS6KA3,DAPK1,ACSN:18974095;KEA:16213824;SPIKE:16213824;SPIKE_LC:16213824;dbPTM:16213824;iPTMnet:16213824
609,RAF1,MAP2K1,ACSN:7565670;ACSN:9069260;CancerCellMap:9677429;DIP:1326789;DIP:17724343;DIP:23934108;HPRD-phos:10409742;HPRD-phos:11684694;HPRD-phos:18691976;HPRD-phos:7731720;HPRD-phos:8157000;HPRD-phos:8394352;HPRD-phos:8621729;HPRD:11604401;HPRD:16093354;HPRD:7731720;HPRD:8157000;HPRD:8394352;HPRD:8621729;IntAct:17724343;IntAct:17979178;IntAct:19197339;IntAct:23934108;IntAct:24746704;KEA:10409742;KEA:10567369;KEA:11684694;KEA:12594221;KEA:15175348;KEA:15466476;KEA:17192257;KEA:7624324;KEA:7731720;KEA:7873542;KEA:7936666;KEA:8039496;KEA:8131746;KEA:8157000;KEA:8394352;KEA:8621729;KEA:9351825;KEA:94178255;Lit-BM-17:10757792;Lit-BM-17:10958680;Lit-BM-17:1326789;Lit-BM-17:15485920;Lit-BM-17:15866172;Lit-BM-17:16093354;Lit-BM-17:17724343;Lit-BM-17:17979178;Lit-BM-17:18556463;Lit-BM-17:19058874;Lit-BM-17:19197339;Lit-BM-17:20212043;Lit-BM-17:21336309;Lit-BM-17:24746704;Lit-BM-17:25155755;Lit-BM-17:26496610;Lit-BM-17:9311917;NetPath:10677502;NetPath:9677429;ProtMapper:10327068;ProtMapper:10359597;ProtMapper:10567369;ProtMapper:10969079;ProtMapper:10976102;ProtMapper:11042690;ProtMapper:11136732;ProtMapper:11948406;ProtMapper:11948414;ProtMapper:12695496;ProtMapper:12750173;ProtMapper:12876277;ProtMapper:12907640;ProtMapper:12920017;ProtMapper:1330321;ProtMapper:15342917;ProtMapper:15466214;ProtMapper:16129686;ProtMapper:16407412;ProtMapper:18799465;ProtMapper:19219045;ProtMapper:19541618;ProtMapper:23728975;ProtMapper:27169363;ProtMapper:7624324;ProtMapper:7898932;ProtMapper:7992057;ProtMapper:8090753;ProtMapper:8131746;ProtMapper:8223433;ProtMapper:8248196;ProtMapper:8394352;ProtMapper:8503013;ProtMapper:8607979;ProtMapper:8621729;ProtMapper:8933152;ProtMapper:9032297;SIGNOR:10359597;SPIKE:11604401;SPIKE:16093354;SPIKE:17053865;SPIKE:18337766;SPIKE:19197339;SPIKE:7731720;SPIKE:8157000;SPIKE:8394352;SPIKE:8621729;SPIKE:9677429;SPIKE_LC:11604401;SPIKE_LC:16093354;SPIKE_LC:17053865;SPIKE_LC:18337766;SPIKE_LC:19197339;SPIKE_LC:7731720;SPIKE_LC:8157000;SPIKE_LC:8394352;SPIKE_LC:8621729;SPIKE_LC:9677429;SignaLink3:10757792;SignaLink3:11242034;SignaLink3:11604401;SignaLink3:15485920;SignaLink3:16093354;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7731720;SignaLink3:8157000;SignaLink3:8394352;SignaLink3:8621729;dbPTM:17192257;dbPTM:8131746;iPTMnet:10359597;iPTMnet:10409742;iPTMnet:11684694;iPTMnet:18691976;iPTMnet:7731720;iPTMnet:8131746;iPTMnet:8157000;iPTMnet:8394352;iPTMnet:8621729;phosphoELM:8131746
610,GSN,ACTG1,HPRD:11733011;HPRD:7849017;SPIKE:15526166;SPIKE_LC:15526166
611,DAPK3,NR3C1,SPIKE:18084323;SPIKE_LC:18084323
612,DAPK3,PPP1R14A,KEA:11287002;KEA:12030846;KEA:12604330;KEA:15003508;KEA:15184667;KEA:15665049;SPIKE:11287002;SPIKE_LC:11287002;iPTMnet:11287002;phosphoELM:11287002
613,DAPK3,PPP1R12A,ProtMapper:23345589;ProtMapper:24712327;SPIKE:11226254;SPIKE_LC:11226254
614,CTNNB1,DAPK2,SPIKE:18957423;SPIKE_LC:18957423
615,DAPK3,AR,NetPath:18084323;SPIKE:18084323;SPIKE_LC:18084323
616,ROCK1,DAPK3,KEA:15611134;PhosphoSite:20854903;ProtMapper:25769953;SPIKE:17158456;SPIKE_LC:17158456;dbPTM:15611134;dbPTM:16325270;dbPTM:17158456;dbPTM:18239682;iPTMnet:17158456
617,PPP1R14A,PPP1CA,SPIKE:15124925;SPIKE_LC:15124925
618,DAPK1,TLN1,SPIKE:16476779;SPIKE_LC:16476779
619,TLN1,ITGB1,Adhesome:10497223;Adhesome:11279249;Adhesome:12606711;Adhesome:21947080;Adhesome:3124107;Adhesome:7716514;BioGRID:11279249;CA1:3124107;CA1:7716514;ELM:12606711;HPRD:11279249;SIGNOR:19118207;SPIKE:19118212;SPIKE_LC:19118212
620,DAPK1,ITGA3,SPIKE:12370243;SPIKE_LC:12370243
621,DAPK1,CDKN2A,SPIKE:11146619;SPIKE_LC:11146619
622,DAPK1,CDKN2A,SPIKE:11146619;SPIKE_LC:11146619
623,SMAD4,DAPK1,SPIKE:11740493;SPIKE_LC:11740493
624,SMAD3,DAPK1,SPIKE:11740493;SPIKE_LC:11740493
625,CDC42,MAP3K4,BioGRID:9079650;CancerCellMap:9305638;HPRD:9079650;Lit-BM-17:25241761;Lit-BM-17:9079650;NetPath:9305638;SPIKE:9305638;SPIKE_LC:9305638
626,RAC1,MAP3K1,NetPath:9305638;ProtMapper:7600581;ProtMapper:7600582;ProtMapper:7992057;ProtMapper:9305638;ProtMapper:9487126;ProtMapper:9733714;SPIKE:9305638;SPIKE_LC:9305638
627,STAT3,WNT5A,SPIKE:17203201;SPIKE:19424602;SPIKE_LC:17203201;SPIKE_LC:19424602
628,RAC1,MAP3K4,CancerCellMap:9305638;HPRD:9305638;NetPath:9305638;SPIKE:9305638;SPIKE_LC:9305638
629,ATM,MDC1,HPRD:12607005;IntAct:12607005;PhosphoSite:21705321;PhosphoSite:22234877;PhosphoSite:28193847;ProtMapper:21705321;ProtMapper:22234877;ProtMapper:22234878;SIGNOR:12607003;SPIKE:18006705;SPIKE_LC:17145710;SPIKE_LC:17525332;SPIKE_LC:18006705;iPTMnet:18006705
630,MDC1,ATM,HPRD:12607005;IntAct:12607005;SPIKE:16427009;SPIKE_LC:16427009;SPIKE_LC:17145710
631,SP1,WNT5A,SPIKE:19424602;SPIKE_LC:19424602
632,TP53,AIFM2,SPIKE:1588974;SPIKE_LC:1588974
633,TP53,ANLN,SPIKE:1301998;SPIKE_LC:1301998
634,TP53,ABCB1,SPIKE:10783169;SPIKE_LC:10783169
635,TP53,ACTA2,SPIKE:17409411;SPIKE_LC:17409411
636,TP53,ARID3A,HPRD:12136662;HPRD:15017387;SPIKE:18431400;SPIKE_LC:15017387;SPIKE_LC:18431400
637,TP53,ADGRB1,SPIKE:18431400;SPIKE_LC:18431400
638,TP53,APC,SPIKE:18431400;SPIKE_LC:18431400
639,ELAVL1,SIRT1,SPIKE:17317627;SPIKE_LC:17317627
640,CHEK2,ELAVL1,InnateDB:17317627;Lit-BM-17:17317627;Lit-BM-17:19322201;PhosphoSite:32929216;ProtMapper:20798862;ProtMapper:21745814;ProtMapper:21930182;ProtMapper:22201738;ProtMapper:22608259;ProtMapper:22936947;ProtMapper:26819413;ProtMapper:26821046;ProtMapper:27307117;ProtMapper:30294283;SPIKE:17317627;SPIKE_LC:17317627
641,E2F3,CCNB1,ACSN:15510213;SPIKE:15510213;SPIKE:18319725;SPIKE_LC:15510213;SPIKE_LC:18319725
642,CHEK1,WEE1,ACSN:15070733;ACSN:15459660;ACSN:15798197;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:19793801;ACSN:23508805;ACSN:23897299;ACSN:7681363;ACSN:8515817;ACSN:9268380;ProtMapper:19230643;ProtMapper:26930412;ProtMapper:28396830;SIGNOR:20068082;SPIKE:15070733;SPIKE:19500427;SPIKE:7681363;SPIKE:8515817;SPIKE_LC:15070733;SPIKE_LC:19500427;SPIKE_LC:7681363;SPIKE_LC:8515817
643,E2F1,EED,ACSN:14532106;SPIKE:14532106;SPIKE:18319725;SPIKE_LC:14532106;SPIKE_LC:18319725
644,WNT5A,FZD2,Baccin2019:9389482;CellTalkDB:24032637;Cellinker:9389482;LRdb:9389482;NetPath:19910923;SIGNOR:19008118;SIGNOR:19910923;SIGNOR:2808370;SPIKE:19910923;SPIKE_LC:19910923;connectomeDB2020:19910923;connectomeDB2020:9389482
645,MIR17HG,CDKN1A,SPIKE:19074875;SPIKE:20299512;SPIKE:20406979;SPIKE:21741842;SPIKE_LC:19074875;SPIKE_LC:20299512;SPIKE_LC:20406979;SPIKE_LC:21741842
646,PUF60,MYC,SPIKE:20420426;SPIKE_LC:20420426
647,PUF60,FUBP1,DIP:20711187;ELM:20711187;HPRD:10882074;SPIKE:11239393;SPIKE:20420426;SPIKE_LC:11239393;SPIKE_LC:20420426
648,AKT1,CDKN1A,ACSN:10217147;ACSN:10722653;ACSN:10949026;ACSN:11231573;ACSN:11463845;ACSN:11715018;ACSN:11756412;ACSN:11923280;ACSN:15169778;ACSN:15798220;ACSN:15808505;ACSN:16680151;ACSN:16697215;ACSN:16775416;ACSN:17052453;ACSN:17646672;ACSN:17680028;ACSN:18372248;ACSN:18570873;ACSN:18636226;ACSN:19216069;ACSN:20138985;ACSN:20214616;ACSN:20398329;ACSN:20452955;ACSN:20832730;ACSN:9812896;ACSN:9829964;HPRD-phos:11756412;HPRD:11756412;KEA:10753973;KEA:11756412;KEA:11779850;KEA:12431783;KEA:15001356;KEA:16055744;KEA:17570479;Lit-BM-17:16982699;Lit-BM-17:25241761;PhosphoSite:11231573;PhosphoSite:11463845;PhosphoSite:11756412;PhosphoSite:15001356;PhosphoSite:16982699;PhosphoSite:17855660;PhosphoSite:20307683;PhosphoSite:23886938;PhosphoSite:26436589;PhosphoSite:27603133;PhosphoSite:34069970;ProtMapper:11231573;ProtMapper:16982699;ProtMapper:17855660;ProtMapper:19440234;ProtMapper:24848107;ProtMapper:28358423;SIGNOR:16982699;SIGNOR:31575057;SPIKE:11231573;SPIKE:11756412;SPIKE:12042314;SPIKE:16288292;SPIKE:21933447;SPIKE_LC:11231573;SPIKE_LC:11756412;SPIKE_LC:12042314;SPIKE_LC:16288292;SPIKE_LC:21933447;SignaLink3:12851486;SignaLink3:15023346;SignaLink3:23109003;iPTMnet:11756412;iPTMnet:16982699;iPTMnet:31575057
649,CDK7,ETS1,SPIKE:15494306;SPIKE:20725631;SPIKE_LC:15494306;SPIKE_LC:20725631
650,FUBP1,MYC,ACSN:18490439;ACSN:19219071;ACSN:2191300;SPIKE:15502847;SPIKE_LC:15502847
651,E2F1,CDKN1A,ACSN:10030670;SPIKE:18319725;SPIKE_LC:18319725
652,FBXL17,CRY2,SPIKE:17463251;SPIKE:20304803;SPIKE_LC:17463251;SPIKE_LC:20304803
653,MECP2,PER1,SPIKE:21118894;SPIKE_LC:21118894
654,MECP2,PER2,SPIKE:21118894;SPIKE_LC:21118894
655,E2F3,CDKN2A,ACSN:15175242;ACSN:15177020;SPIKE:11883935;SPIKE:18319725;SPIKE_LC:11883935;SPIKE_LC:18319725
656,E2F3,CDKN2A,ACSN:15175242;ACSN:15177020;SPIKE:11883935;SPIKE:18319725;SPIKE_LC:11883935;SPIKE_LC:18319725
657,PAIP2,PER1,SPIKE:21118894;SPIKE_LC:21118894
658,BTG2,PER1,SPIKE:21118894;SPIKE_LC:21118894
659,BTG3,PER2,SPIKE:21118894;SPIKE_LC:21118894
660,PAIP2,PER2,SPIKE:21118894;SPIKE_LC:21118894
661,E2F4,CLSPN,ACSN:16135806;SPIKE:17251008;SPIKE:18319725;SPIKE_LC:17251008;SPIKE_LC:18319725
662,E2F2,CDKN2A,ACSN:11883935;SPIKE:11883935;SPIKE:18319725;SPIKE_LC:11883935;SPIKE_LC:18319725
663,E2F2,CDKN2A,ACSN:11883935;SPIKE:11883935;SPIKE:18319725;SPIKE_LC:11883935;SPIKE_LC:18319725
664,CDK1,BRCA1,HPRD:9244350;KEA:17570479;PhosphoSite:32193285;ProtMapper:10550055;ProtMapper:19683496;ProtMapper:21706030;ProtMapper:26719576;ProtMapper:26745677;SIGNOR:10550055;SIGNOR:19683496;SPIKE:21706030;SPIKE_LC:16713569;SPIKE_LC:21706030;iPTMnet:10550055;iPTMnet:19683496
665,E2F1,CDT1,ACSN:14990995;SPIKE:14990995;SPIKE:18319725;SPIKE:19541929;SPIKE_LC:14990995;SPIKE_LC:18319725;SPIKE_LC:19541929
666,E2F1,CDKN2A,ACSN:11034215;ACSN:12446760;ACSN:15175242;ACSN:16135794;BioGRID:16135794;DIP:11314038;HPRD:11314038;SPIKE:11883935;SPIKE:18319725;SPIKE_LC:11883935;SPIKE_LC:18319725
667,CDKN2A,E2F1,ACSN:12446760;ACSN:16135794;BioGRID:16135794;DIP:11314038;HPRD:11314038;SPIKE:11274364;SPIKE:18319725;SPIKE:18805416;SPIKE_LC:11274364;SPIKE_LC:18319725;SPIKE_LC:18805416
668,CDKN2A,E2F1,ACSN:12446760;ACSN:16135794;BioGRID:16135794;HPRD:11314038;SPIKE:11274364;SPIKE:18319725;SPIKE:18805416;SPIKE_LC:11274364;SPIKE_LC:18319725;SPIKE_LC:18805416
669,E2F1,CDKN2A,ACSN:11034215;ACSN:12446760;ACSN:15175242;ACSN:16135794;BioGRID:16135794;HPRD:11314038;SPIKE:11883935;SPIKE:18319725;SPIKE_LC:11883935;SPIKE_LC:18319725
670,E2F2,PCNA,ACSN:15510213;SPIKE:11491305;SPIKE:18319725;SPIKE_LC:11491305;SPIKE_LC:18319725
671,E2F6,BRCA1,ACSN:12909625;SPIKE:12909625;SPIKE:18319725;SPIKE_LC:12909625;SPIKE_LC:18319725
672,E2F6,CBX5,ACSN:12909625;SPIKE:12909625;SPIKE:18319725;SPIKE_LC:12909625;SPIKE_LC:18319725
673,UBE2T,FANCL,DIP:24389026;Lit-BM-17:16916645;Lit-BM-17:19111657;Lit-BM-17:21775430;Lit-BM-17:24389026;Lit-BM-17:24623813;Lit-BM-17:25464845;Lit-BM-17:26046368;Lit-BM-17:28162934;SIGNOR:24389026;SPIKE:17768402;SPIKE_LC:17768402
674,UBE2T,FANCI,ACSN:18931676;ACSN:19622404;ACSN:19686080;ACSN:22615860;SPIKE:17768402;SPIKE_LC:17768402
675,SUMO2,PML,HPRD:9452416;SPIKE:18931695;SPIKE_LC:16713569;SPIKE_LC:18931695
676,TP53,DNMT1,SPIKE:18431400;SPIKE_LC:18431400
677,SUMO1,PML,BioGRID:22875967;DIP:25497731;HPRD:11080164;HPRD:11948183;HPRD:8806687;HPRD:9756909;IntAct:11948183;IntAct:17036045;IntAct:21057547;IntAct:25497731;Lit-BM-17:11948183;Lit-BM-17:17036045;Lit-BM-17:17081985;Lit-BM-17:17344210;Lit-BM-17:19217413;Lit-BM-17:19380586;Lit-BM-17:22875967;Lit-BM-17:25497731;Lit-BM-17:9885291;SIGNOR:9756909;SPIKE:18931695;SPIKE_LC:11948183;SPIKE_LC:16189514;SPIKE_LC:17036045;SPIKE_LC:18931695
678,UBE2T,FANCD2,ACSN:12239151;ACSN:18931676;ACSN:19622404;ACSN:19686080;ACSN:22615860;SPIKE:17768402;SPIKE_LC:17768402
679,TP53,EGFR,SPIKE:18431400;SPIKE_LC:18431400
680,MAPKAPK2,CDC25A,SIGNOR:17292828;SPIKE:15629715;SPIKE_LC:15629715
681,TP53,EPHA2,SPIKE:18431400;SPIKE_LC:18431400
682,CHEK1,CDC25B,ACSN:15459660;ACSN:15798197;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17568790;ACSN:17582221;ACSN:18677104;ACSN:19793801;ACSN:20126263;DIP:9278511;HPRD:9278511;KEA:17003105;PhosphoSite:17003105;ProtMapper:17003105;ProtMapper:17950252;ProtMapper:21091437;ProtMapper:27038604;SIGNOR:17003105;SPIKE:16314342;SPIKE:17003105;SPIKE_LC:16314342;SPIKE_LC:17003105;iPTMnet:17003105;phosphoELM:17003105
683,TP53,EDN2,SPIKE:18431400;SPIKE_LC:18431400
684,MAPKAPK2,CDC25C,KEA:9543386;SPIKE:15629715;SPIKE_LC:15629715;iPTMnet:15629715
685,TP53,EEF1A1,SPIKE:18431400;SPIKE_LC:18431400
686,MAPKAPK2,CDC25B,KEA:12400006;KEA:15128871;KEA:15150265;KEA:15629715;KEA:15908796;PhosphoSite:15150265;PhosphoSite:15908796;PhosphoSite:16861915;PhosphoSite:21558810;ProtMapper:16861915;ProtMapper:19230643;ProtMapper:20932473;ProtMapper:25993413;SPIKE:15629715;SPIKE_LC:15629715;iPTMnet:15629715;iPTMnet:16861915;phosphoELM:15629715
687,TP53,HTT,HPRD:10823891;IntAct:10823891;IntAct:32814053;SPIKE:18431400;SPIKE_LC:16713569;SPIKE_LC:18431400
688,TP53,GPX1,SPIKE:18431400;SPIKE_LC:18431400
689,TP53,GML,SPIKE:18431400;SPIKE_LC:18431400
690,TP53,FANCC,SPIKE:18431400;SPIKE_LC:18431400
691,TP53,HGF,SPIKE:18431400;SPIKE_LC:18431400
692,ATM,SLX4,SPIKE:17525332;SPIKE:21655083;SPIKE_LC:17525332;SPIKE_LC:21655083
693,STAT1,FAS,SPIKE:17992189;SPIKE_LC:17992189
694,STAT1,CDKN1A,SPIKE:17992189;SPIKE_LC:17992189
695,NFE2L2,PRDX1,ACSN:10821856;SPIKE:15289456;SPIKE_LC:15289456
696,ATM,BID,ProtMapper:16122425;ProtMapper:16122426;ProtMapper:21113148;ProtMapper:25077544;SPIKE:16122425;SPIKE:16122426;SPIKE:18662573;SPIKE_LC:16122425;SPIKE_LC:16122426;SPIKE_LC:17525332;SPIKE_LC:18662573;iPTMnet:16122425;iPTMnet:16122426
697,KDM2B,PRDX4,SPIKE:18838535;SPIKE_LC:18838535
698,KDM2B,NQO1,SPIKE:18838535;SPIKE_LC:18838535
699,ATR,RBBP8,ACSN:11877377;ACSN:15459660;ACSN:15485915;ACSN:15798197;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18511906;ACSN:18677104;ACSN:18716619;ACSN:19282663;ACSN:19357644;ACSN:19490890;ACSN:19622404;ACSN:19793801;ACSN:20051983;PhosphoSite:23273981;ProtMapper:23273981;ProtMapper:24842372;ProtMapper:25956864;ProtMapper:30135856;SIGNOR:23273981;iPTMnet:23273981
700,RBBP8,ATR,SPIKE:17965729;SPIKE_LC:17965729
701,ATR,FANCI,ACSN:11877377;ACSN:15459660;ACSN:15798197;ACSN:17102137;ACSN:17116885;ACSN:17296725;ACSN:17384638;ACSN:17582221;ACSN:18677104;ACSN:18931676;ACSN:19282663;ACSN:19622404;ACSN:19686080;ACSN:19793801;ProtMapper:19101576;SPIKE:18931676;SPIKE_LC:18931676
702,E2F1,APAF1,ACSN:11389439;ACSN:11559530;ACSN:11591730;ACSN:12149244;SPIKE:11389439;SPIKE:18319725;SPIKE_LC:11389439;SPIKE_LC:18319725
703,CDK1,E2F1,ACSN:15279786;ACSN:17303408;ACSN:17660363;ACSN:18590585;ACSN:7575488;HPRD-phos:8087847;HPRD:8087847;KEA:17570479;KEA:8087847;PhosphoSite:27175585;ProtMapper:8087847;SIGNOR:8087847;iPTMnet:8087847;phosphoELM:8087847
704,E2F1,CDK1,ACSN:15510213;HPRD:8087847;SPIKE:18319725;SPIKE:20224733;SPIKE_LC:18319725;SPIKE_LC:20224733
705,E2F2,EED,ACSN:14532106;SPIKE:14532106;SPIKE:18319725;SPIKE_LC:14532106;SPIKE_LC:18319725
706,MTOR,EIF4EBP3,SIGNOR:14967450;SPIKE:16288292;SPIKE_LC:16288292
707,MTOR,EIF4EBP2,SIGNOR:14967450;SIGNOR:23100465;SPIKE:16288292;SPIKE_LC:16288292
708,MAPKAPK2,TSC1,SPIKE:18075516;SPIKE_LC:18075516
709,TP53,BDKRB2,SPIKE:18431400;SPIKE_LC:18431400
710,TP53,BID,ACSN:12402042;ACSN:15024076;ACSN:15240700;SPIKE:12402042;SPIKE:18431400;SPIKE_LC:12402042;SPIKE_LC:18431400
711,MAP3K8,MAP3K14,HPRD:10072079;HPRD:11278268;HPRD:9742107;InnateDB:10072079;KEA:11278268;KEA:9742107;NetPath:10072079;ProtMapper:9742107;SIGNOR:9742107;SPIKE:10072079;SPIKE:18439422;SPIKE_LC:10072079;SPIKE_LC:18439422;iPTMnet:11278268;iPTMnet:9742107
712,IKBKB,TSC1,ACSN:17693255;ACSN:18716620;ACSN:20300203;InnateDB:17693255;IntAct:17693255;PhosphoSite:17693255;ProtMapper:17693255;ProtMapper:19188143;ProtMapper:20146692;ProtMapper:21559457;ProtMapper:22003905;ProtMapper:22017429;ProtMapper:22264792;ProtMapper:22408430;ProtMapper:22435559;ProtMapper:22980037;ProtMapper:23144589;SIGNOR:17693255;SIGNOR:19188143;SPIKE:17693255;SPIKE:18075516;SPIKE_LC:17693255;SPIKE_LC:18075516;iPTMnet:17693255;iPTMnet:19188143
713,TP53,BCL2L14,SPIKE:18431400;SPIKE_LC:18431400
714,MAP3K8,MAP2K4,HPRD:8631303;ProtMapper:8631303;SIGNOR:22435554;SPIKE:15833743;SPIKE_LC:15833743;SignaLink3:23331499;SignaLink3:8631303
715,RICTOR,AKT1,ACSN:15718470;ACSN:17277771;ACSN:17517883;ACSN:18372248;ACSN:19203586;InnateDB:15718470;InnateDB:16603397;InnateDB:16919458;InnateDB:17545609;InnateDB:18411301;InnateDB:18566586;Lit-BM-17:15718470;Lit-BM-17:16603397;Lit-BM-17:18566587;Lit-BM-17:19402821;Lit-BM-17:21177249;Lit-BM-17:21339740;Lit-BM-17:21343617;Lit-BM-17:22990118;Lit-BM-17:25241761;ProtMapper:19844585;SPIKE:19143635;SPIKE_LC:19143635
716,EIF4EBP2,EIF4E,BioGRID:7935836;DIP:24207126;ELM:10406811;HPRD:16271312;HPRD:7651417;HPRD:7935836;HPRD:8939971;InnateDB:15153109;InnateDB:16189514;InnateDB:16271312;InnateDB:17316564;IntAct:15153109;IntAct:24207126;IntAct:24722188;IntAct:25416956;IntAct:31515488;IntAct:32296183;IntAct:7935836;Lit-BM-17:15153109;Lit-BM-17:20347422;Lit-BM-17:24722188;Lit-BM-17:26186194;Lit-BM-17:7651417;Lit-BM-17:7935836;SPIKE:11847216;SPIKE:15550948;SPIKE:16189514;SPIKE:7935836;SPIKE_LC:11847216;SPIKE_LC:15550948;SPIKE_LC:16189514;SPIKE_LC:7935836
